003422	2
002396	1
009558	3
005398	2
017810	5
015929	5
019863	6
018085	5
013283	4
005524	2
003369	2
005221	2
019946	6
015817	5
018820	5
002848	1
000086	1
019888	6
005695	2
014493	4
015008	5
003451	2
011007	4
000164	1
008461	3
016369	5
020693	6
015534	5
010522	3
014875	4
020261	6
005409	2
008779	3
006429	2
019783	6
005980	2
008681	3
007110	3
010815	3
012132	4
001374	1
009768	3
018384	5
012514	4
014191	4
015655	5
021352	6
000116	1
000170	1
000749	1
003357	2
019402	6
004131	2
017485	5
018529	5
002085	1
021225	6
016726	5
007724	3
021309	6
002198	1
004136	2
008977	3
006919	3
020532	6
017082	5
013266	4
006334	2
013443	4
019419	6
009045	3
005276	2
012763	4
016265	5
010847	3
014047	4
014681	4
008178	3
009968	3
020065	6
009795	3
014402	4
001230	1
014923	5
000512	1
011983	4
006016	2
017306	5
005231	2
017311	5
018580	5
003376	2
007345	3
020810	6
004604	2
009320	3
014105	4
005631	2
006889	3
002276	1
014537	4
006287	2
017125	5
011578	4
005739	2
001144	1
014108	4
012805	4
021242	6
003727	2
019662	6
019333	6
002831	1
017689	5
001070	1
010732	3
019545	6
012084	4
018826	5
006197	2
015545	5
018991	6
011811	4
000973	1
007352	3
016372	5
011589	4
011474	4
009786	3
001400	1
001022	1
013921	4
009055	3
013168	4
006909	3
013931	4
013795	4
016792	5
014736	4
003414	2
006450	2
014484	4
006595	2
017379	5
006436	2
008563	3
010168	3
019057	6
000808	1
000750	1
012355	4
007160	3
001783	1
017338	5
010014	3
011053	4
004705	2
016765	5
014714	4
018471	5
005731	2
008378	3
007527	3
002741	1
016998	5
003590	2
010819	3
016761	5
005870	2
018774	5
018808	5
019358	6
000118	1
005568	2
012701	4
000558	1
017674	5
002299	1
001421	1
009153	3
004822	2
002296	1
003697	2
018816	5
000930	1
011493	4
019472	6
005080	2
000457	1
004303	2
018722	5
007362	3
009775	3
005439	2
016959	5
007447	3
007057	3
009610	3
003446	2
006379	2
005352	2
021780	6
020440	6
009362	3
009009	3
020329	6
017233	5
006078	2
018299	5
003562	2
